,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,23.67,42,96,5.1,US,1612807182
1,Erenhot,43.6475,111.9767,16.38,88,0,8.48,CN,1612807182
2,Kavaratti,10.5669,72.642,82.08,62,6,7.49,IN,1612807182
3,Broken Hill,-31.95,141.4333,66.2,26,0,8.05,AU,1612807183
4,Sisimiut,66.9395,-53.6735,22.05,80,0,12.33,GL,1612807183
5,Avarua,-21.2078,-159.775,80.6,83,20,6.91,CK,1612807183
6,Atasū,48.6814,71.6433,-2.45,90,21,15.9,KZ,1612807183
7,Geraldton,-28.7667,114.6,64.4,88,4,6.91,AU,1612807184
8,Vaini,-21.2,-175.2,73.4,100,90,11.5,TO,1612807184
9,Lázaro Cárdenas,17.9583,-102.2,83.79,46,0,5.61,MX,1612807184
10,Esperance,-33.8667,121.9,64.4,82,0,8.05,AU,1612807184
11,Cockburn Town,21.4612,-71.1419,82.4,65,40,11.5,TC,1612807184
12,New Norfolk,-42.7826,147.0587,51.6,82,90,4.61,AU,1612807185
13,San Miguel de Cozumel,20.5083,-86.9458,84.96,58,40,9.22,MX,1612807185
14,Abhā,18.2164,42.5053,48.2,87,75,13.8,SA,1612807185
15,Amasya,40.6533,35.8331,50.0,57,0,4.61,TR,1612807185
16,Dikson,73.5069,80.5464,-31.14,84,91,15.12,RU,1612807185
17,Pevek,69.7008,170.3133,-14.31,83,17,0.38,RU,1612807186
18,Sambava,-14.2667,50.1667,79.92,78,100,1.39,MG,1612807186
19,Bluff,-46.6,168.3333,57.83,94,100,3.65,NZ,1612807186
20,Kieta,-6.2167,155.6333,80.08,82,99,9.98,PG,1612807186
21,Butaritari,3.0707,172.7902,81.48,82,69,18.86,KI,1612807187
22,Barrow,71.2906,-156.7887,-34.6,84,1,9.22,US,1612807187
23,Glamoč,44.0458,16.8486,37.67,90,87,5.21,BA,1612807187
24,Punta Arenas,-53.15,-70.9167,69.39,40,0,14.97,CL,1612807178
25,Río Gallegos,-51.6226,-69.2181,82.4,24,0,6.91,AR,1612807165
26,Yellowknife,62.456,-114.3525,-34.6,67,75,17.27,CA,1612806938
27,Binzhou,37.3667,118.0167,39.99,38,52,1.99,CN,1612807188
28,Samarai,-10.6167,150.6667,81.68,80,100,6.49,PG,1612807122
29,Hilo,19.7297,-155.09,64.29,68,20,6.91,US,1612806784
30,Tall Kayf,37.0833,41.0667,55.4,67,75,9.22,TR,1612807189
31,Tuktoyaktuk,69.4541,-133.0374,-38.2,67,1,2.3,CA,1612807189
